你会不会骂人	我不可以骂人的，老师教育我一定要懂礼貌，尊重别人。  
我要退货，邮费咋算?	质量问题的退换货运费肯定不需要大人您承担的呢~~~办理完毕之后可以联系人工客服小美，会为您处理的哦~~~ 
我要换货怎么换啊	自订单妥投之日起15日内可申请换货，确认收货之后就会有申请的按钮哦~~~
我要换货，但是在换货前我要电话确认一下！	申请退货审核通过之后，在退换货记录里面即可查询商家电话呢~~如果是自营的商品直接联系人工客服小美就可以了呢~~ 
你好 我要换货	亲，请您放心，我司有完善的售后体系，自商品妥投之日起出现质量问题，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/html/shfw/thh-zy.html
你好 我买错了，想退货，如何操作	亲 如订单还未发货可联系人工客服小美取消哦~~~ 
美女，评价怎么评论	亲~~~商品收到之后您点击确认收货就会出现评价的按钮！直接点击评价您心仪的宝贝即可喽~~~
你好，请问原价是多少啊	亲，网站的价格都是正常销售价格，不议价哦，相比其他家已经很优惠啦，看好了就赶紧下手吧/坏笑
你好，怎么找客服啊	亲~我是机器人小E，随时为您效劳~~~ 
你好，什么时候有货啊	如果页面显示您当地无货，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦~~
你好，你们不是货到付款啊	在商品页面选择您所在的省市区即可查询是否支持货到付款~~~
你好。我怎么没有收到发票啊	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，建议您联系人工客服小美为您核实处理； 
没有人工客服么	亲~·我是机器人小E~
我现在买了 但是可能安装要推迟 可以吗?	安装相关您可参看帮助中心-售后服务-上门安装的哦~~~http://help.gome.com.cn/article/325-0-0.html?intcmp=sy-1000043269-1
商品怎么保修	商品售后可参照商品页面-售后服务 查看该商品的具体售后服务和保修期，请您放心选购
刷卡可以吗	亲~如果您下单时选择了货到付款刷卡，送货时师傅会带着POS机哦~~
啥时候能有货，麻烦你问问可以吗	很抱歉呢，因商品采购属集团负责，暂时无法查询到货时间，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦/可爱
如果不能用可以退款吗	亲，请您放心，我司有完善的售后体系，自商品妥投之日起出现质量问题，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/html/shfw/thh-zy.html
能验好笔记本电脑后，再付款，可以吗	签收与验货流程您可参看服务中心-物流配送-签收验货的哦 http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3
你不是厂家	我是机器人小E~~~ 
你不是属于第三方吗	我是机器人小E~~~ 
你不是客服吗	我是机器人小E~~~ 
转人工	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
你不是人工客服吧	我是机器人小E~~~ 
下单有赠品吗	如果下单的时候有赠品都会在商品页面显示的哦~~~
你好，这个不能免邮费?	运费可参考 http://help.gome.com.cn/article/225-0-0.html 配送费用哦~~~
你好！怎么算企业用户	打开连接：https://reg.gome.com.cn/register/index/company 即可注册的哦~~~
你好，该款何时有货?	很抱歉呢，因商品采购属集团负责，暂时无法查询到货时间，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦/可爱
你好，空调包安装吗?	亲~安装相关您可参考服务中心-上门安装 连接：http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2 查看的哦~~~
您好 可以分期吗	分期付款金额是指您的订单应付金额，最低为100元，最高不超过50000元，具体金额以银行设置为准。
您好 我想开店、入驻国美	点击网上最上方网址导航-商家入驻，即可填写信息的哦~~~
您好 商品坏了怎么维修	如果手机在保修期之内可联系厂家保修的哦~~~~如果您手机已经过保可点击连接：http://help.gome.com.cn/article/326-0-0.html?intcmp=sy-1000043269-2 登记维修的哦~~~
在派送了吗	点击我的订单，即可查询订单详情哦~~~
可以开发票吗?	发票相关您可参考服务中心-发票制度  链接：http://help.gome.com.cn/article/238-0-0.html 
有货吗	在商品页面选择您所在的省市区即可查询是否有货~~~
你们是谁发货	快递小哥为您送货~~~~
空调谁给安装	亲~安装相关您可参考服务中心-上门安装 连接：http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2 查看的哦~~~
空调由谁来安装	亲~安装相关您可参考服务中心-上门安装 连接：http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2 查看的哦~~~
需要售后找谁	商品售后可参照商品页面-售后服务 查看该商品的具体售后服务和保修期，请您放心选购
帮我催一下，谢谢！	催一下，即可就达，快递小哥在快马加鞭送货中，还请亲稍等下的哦~~~
请保证质量，谢谢！	亲，请您放心，国美在线向您承诺所售商品均为正品行货，自带机打发票，享受国家三包，与您亲临商场享受同等的质量/强 ，自营商品会随商品配带发票（部分商品需要签收商品后单独邮寄）/呲牙另我们还为您提供具有竞争力的价格，请您放心购买！/强
需要人工服务，谢谢	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
无货	亲，请您在商品页面“送至”后面选择您的收货地区，即会显示是否有货哟~ 
4G比3G的优势在哪里？	快~快~快~重要的事情说三遍~~
39元的产品都要5块运费吗？	运费可参考 http://help.gome.com.cn/article/225-0-0.html 配送费用哦~~~
优惠券在哪里查询	打开我的国美-优惠券即可查询哦~
你帮忙催催卖家 谢谢	小E也想早点为您出库，还请您耐心等等~~ 
麻烦你尽快出货咯，谢谢	商品发出之后在我的订单就可以查询，您也关注下的哦~~
怎么能找到卖家直接咨询呢	如果是第三方入驻商家的商品，商品页面右侧有商家在线客服和联系方式哦~~
能找到商家的电话吗	如果是第三方入驻商家的商品，商品页面右侧有商家在线客服和联系方式哦~~
代金劵在哪能找到	打开我的国美-优惠券 
在哪能找到和厂家联系的	一般商品页面右侧会有厂家在线客服的哦~
What's you name?	呜呜~~~~(>_<)~~~~  小E看不懂您说的什么~~ 
宝贝包邮不	在商品页面选择您所在的省市区即可查询是否有运费的哦~~~
宝贝是新机吗	国美在线所售商品均为全新（淘实惠除外）正品行货，商品都是通过正规渠道进货，入驻的商家商品质量也都是经过国美在线严格审查，请您放心购买。
宝贝发货快吗	快~快~快~重要的事情说三遍~~
宝贝出货快吗？	快~快~快~重要的事情说三遍~~
为什么我的地址不能购买，不可以调货吗	很抱歉呢，因商品采购属集团负责，暂时无法查询到货时间，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦/可爱
航嘉电源售后找谁	亲，拨打厂家的电话可以咨询售后问题哦~~~
这个空调谁给安装?	打开链接：http://help.gome.com.cn/question/25.html?intcmp=sy-1000043269-2 ，不是我司安装的话，拨打厂家的电话预约安装哦~~~
给我找个客服吧	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
人工客服在吗	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服在不在呀	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服几点上班	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服在线聊天	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
人类客服不在线了吗	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
订单过期了还没送达	亲，小E相信师傅一定是有原因的，您也可以联系下人工客服询问下的哦~~~ 
是全新未开封的？	亲，您放心，国美在线向您保证商品都是全新未拆封的
为什么不可以加入购物车呢	小E不太清楚呢，建议您咨询人工客服，么么哒~~~ 
为什么我无法结算呢	小E不太清楚呢，建议您咨询人工客服，么么哒~~~ 
不可以办分期吗	打开链接：http://help.gome.com.cn/article/234-0-0.html  有分期说明的哦
其它银行的不可以用么?	打开链接：http://help.gome.com.cn/article/233-241-0.html ，可以看看我们的在线支付的说明哦~~~
不同颜色的不可以一起减吗?	亲，满减活动以页面价格下面有满减字样的参与哦，具体可以以加入购物车显示的为准哦~~~
我领的卷怎么不可以用	亲，在您的国美-您的优惠劵-点击去使用，里面的商品支持使用哦~~~
为何同一种商品价格不同啊	亲，因商品属于地方采购，因厂家供货价及批次不同，故会出现区域不一样价格也不同的情况，但请您放心，国美在线一直秉承行业低价的原则，且保证正品哦/握手
为何我的地址一直是湖南改不了北京	亲，去收货地址设置默认地址就可以啦~~~
为何比别家的贵呢	亲，因网站促销活动较多，随时会因活动力度或市场波动而变化，可能会出现部分商品涨价或降价的情况，亲~要选购好了可以趁着有活动时尽快下单的哦/可爱
为何不是货到付款	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0  可以详细的告知您哦~~
那你的意思是可以货到付款是不是啊?	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0  可以详细的告知您哦~~
你是不是货到付款啊	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0  可以详细的告知您哦~~
你上面是免运费啊	打开链接:http://help.gome.com.cn/question/104.html 就可以看见具体的运费说明~~~
这是什么颜色	亲，以页面显示为准的哦
你们送货时会损坏么	亲，放心吧，我们的快递师傅都是很温柔的，会让您的商品安全的送达呢~~~
如果用损坏怎么办呢?	亲，请您放心，我司有完善的售后体系，自商品妥投之日起出现质量问题，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/html/shfw/thh-zy.html
物流中损坏怎么办	打开链接：http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3 ，是签收与验货的流程哦~~~
手机有损坏怎么办	打开链接：http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3 ，是签收与验货的流程哦~~~
书籍有损坏怎么办	打开链接：http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3 ，是签收与验货的流程哦~~~
运输途中不会损坏吧	亲，放心吧，保证您的宝贝安全送达哦
你们这个是全新未拆封的吗	亲，您放心，国美在线向您保证商品都是全新未拆封的
货到货款是什么	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0 ，可以详细的告知您哦~~
货到了钱付给快递员吗？	亲，是的呢，分为pos刷卡和现金支付
这款商品是正品吗?	亲，请您放心，国美在线向您承诺所售商品均为正品行货，自带机打发票，享受国家三包，与您亲临商场享受同等的质量/强 ，自营商品会随商品配带发票（部分商品需要签收商品后单独邮寄）/呲牙另我们还为您提供具有竞争力的价格，请您放心购买！/强
退货的货款打到哪里?	当您已支付的订单，在操作订单取消或订单拒收（拒收订单需要状态变更为“拒收返回大库”时）的情况下，会生成退款，退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。您可以通过我的国美—我的订单—退款服务查看退款处理状态。
请问这款项链到长春需要几天啊??	打开链接：http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0 ，输入您具体的地址查询哦~~~
退货物品有什么要求吗	您可以在“我的订单-退换货”这里进入申请退换货页面，并按照要求填写申请内容，填写无误提交后等待审核即可。
我们这边的售后管吗?	24小时不休，有我在不怕~~~
红领巾 拜拜	再见，欢迎再来噢~/再见
恩我拍	恩恩，就是这样的呢，感觉棒棒的呢~
便宜点	商品价格是无法单独优惠的，您可以参与商品本身正在进行的促销活动，之后是否优惠还请您关注商品的促销信息，感谢您的理解。
什么时候有货？	具体的补货情况不一定哦~建议您可以在电脑端商品页面上，填写下到货通知呢，有货后会第一时间通知您的哦~/微笑
晚上好	亲，晚上好哦~ 
中途不会出现问题吧	不会的呢~有问题随时联系反应呦
国美家装服务项目有哪些？	满足消费者 “基础装修”的基本要求！实现消费者“拎包入住”的美好愿望！
什么是家装管家？	出色的行业人才！完善、标准化、高素质的装修管家服务团队提供装修的咨询服务、材料（主材）服务、施工服务使装修用户获得美好的服务体验！
装修的服务流程是什么？	在线浏览—咨询—预约—设计师上门量房—签订合同—在线支付—工程施工—装修完毕
什么是拎包入住？	包含了装修中的主材、辅材、人工、损耗、家具件套、软装配饰等
你们怎么收费的？	根据家装公司套餐不同，报价也不同，详情可联系客服咨询；客服热线电话：4008105665
你们支持装修的城市包含哪些？	国美家装目前仅支持北京、上海、天津地区，其他城市会陆续开通，请您随时关注国美家装；
装修的风格有哪些？	装修风格不限
预约量房怎么收费？	现阶段家装预约量房为免费服务
为什么出免费设计和报价必须要量房？	只有量房设计师才能够整体了解业主户型的特点（如：光照、通风，格局等）及详细尺寸（一般开发商出具的户型图都是不准的）；设计师和业主现场沟通装修需求，更容易做出令业主满意的设计方案，并减少后面设计的沟通频次。
装修前我需要做哪些准备	您需根据职业、生活习惯与设计师沟通，提供房屋用途、结构、面积、户型、居住人数、装修预算、风格喜好、特殊需求和设计要求。
你们使用的材料是不是环保的？	国美家装使用的全部装修材料均为符合环保规定，相关产品均符合国家环保和质量标准
装修款项如何支付？	签订合同后，在国美家装在线下单
跟你们合作的有那些家装公司？	您好，国美家装目前合作了3家品牌装修公司，分别是：1、速美集家装饰有限公司2、北京生活家装饰工程有限公司3、东易日盛装饰
国美海外购的购物流程	1、选择心仪产品并加入购物车 2、在我的购物车页面点击去结算 3、国美海外购授权页面勾选授权须知并点击授权  4、填写核对订单信息并提及订单 5、填写您的个人身份信息，进行海关申报 6、确认订单信息，进入支付宝完成支付
海外购购物须知	1、国美海外购秉承客户至上的理念;承诺出售的商品均为100%海外正品。2、海外直邮商品均从海外或保税仓发至客户手中，配送物流可靠。国际物流周期时间较长，遇到不可抗力的情况，订单可能会延迟，下单前考虑此配送周期。3、海外购商品需要清关后入境，根据海关要求，在提交订单时需要填写真实的收货姓名，及身份证信息；您的个人信息我们只用于个人物品入境申报，我们会对您的信息进行保护，绝不泄密。 4、购买海外商品需依法向中国海关申报及纳税，海关规定同一身份证当日购买多件海外商品时，金额不得超过1000元人民币（不含关税），且不得超过3单。 5、下单支付后，订单一旦提交至海关申报及纳税，您将不能修改订单信息（收货地址，电话等），也不申报退款，请您知晓并谅解。 6、自客户收到商品之日起7日内出现质量问题可以退货,商品需邮寄至指定的国内地址；7、国美海外购商品暂不支持使用红券。 
国美海外购的售后服务有哪些？	国美海外购售后服务总则 美海外购自营商品适用此售后服务规则。 
手机充值红券如何使用？	1.手机充值红券仅限于手机充值使用；2.单笔订单只可使用1张手机充值红券，差额部分需您选择其他支付方式来支付。3.若订单充值失败，手机充值红券会自动退还至账户中。
话费充值可否开具发票？	国美在线不对手机充值业务提供发票。
为何只有部分话费到账？	出现部分到账的情况，一般是因为运营商分次充值导致的，但最终到账总额与充值面值相等。例如：充100时可能话费到账为98+2的形式，200元的为100+100的形式等等。这是运营商的规则，不影响充值总额。实际到账情况不以短信通知为准，需运营商官方缴费记录为准。
流量充值流程	充值面值：不同的运营商对应的手机号，可以支持不同流量面值充值，具体以充值界面显示为准；充值发票：国美在线虚拟流量充值不提供发票；充值记录：登录国美在线，通过“我的订单-流量充值”可以查询流量充值记录。
火车票代购协议	您可参考：http://help.gome.com.cn/question/5203.html
话费充值为何有时到账慢？	1.由于月初月末充为值高峰，运营商官方系统充值压力非常大，会出现订单排队或者到账延迟现象，建议您避开月初月末充值高峰。2.月初为运营商官方系统出帐日，容易出现订单排队或延迟。3.若遇官方系统升级维护，容易出现订单排队或延迟。（各地区的官方系统维护时间不固定）
携号转网能网上充值么？	携号转网用户请到指定线下营业厅充值，否则充到原运营商账户无法退回。
能否参加号码归属地运营商活动？	各地运营商的规定是不同的，在我们网站上的充值是不能保证能够参加这些活动的，请先与当地运营商咨询。
流量充值订单提交后能否修改或者撤销？	流量充值订单一旦提交成功，不可修改充值信息；如在订单未支付时，发现充值信息有误，可放弃支付，重新发起一笔充值订单；如果订单已经支付成功，则系统会自动流转进行充值，无法人工修改和撤销，请仔细核对您要充值的号码，以防出错。
为何有时充值到账慢？	1.由于充值高峰，运营商官方系统充值量压力非常大，会出现订单排队或者到账延迟现象。2.若遇官方系统升级维护，也容易出现订单排队或延迟。（各地区的官方系统维护时间不固定）
机票预订流程及注意事项	具体您可参考：http://help.gome.com.cn/question/5211.html
机票如何获取行程单？	如需报销凭证，供应商会提供行程单，或者行程单和差价发票。根据不同供应商提供的报销凭证不同。您可在购票时勾选是否需要邮寄行程单服务进行选择。
机票支付成功后多久完成出票？	航空公司座位随订随售，为减少票价变化问题出现，请您尽快支付。支付后，供应商最迟会在航班起飞前3小时出票。
机票如何购买儿童票？	购买儿童票，要求年龄在2－12周岁，要在乘客类型中选择“儿童”，按提示填写信息即可预订。目前特惠机票无法预定儿童机票。
电影票购票说明	(1）登录国美在线网站进入影票频道。（2）根据提示选择城市､影院､影片､场次。（3）根据需求选择影票种类（分为在线选座和电子券二种）。（4）确认购票信息､正确填写接收取票验证码的手机号。（5）目前支付方式为：网银支付､支付宝､国美账户余额支付与国美电影票优惠券，可根据自身情况选择。（6）收到取票验证码后可凭短信到影院前台､指定取票终端兑换观影。
购票须知	（1）请您认真核对购票信息，影票出票成功后，无法办理退票。如因影院自身原因或其他不可抗因素导致无法正常观影，请咨询短信中商家客服。（2）因影票商品特殊性，无法提供发票。（3）购票过程中可能会由于电影售票系统原因导致出票失败，国美在线会在第一时间返还支付费用，请您见谅。（4）使用电子兑换券兑换影票时，影片可能由于（包括但不限于）限价､调价､特殊场次等原因，需在影院前台补交差价，如遇此类情况请以影院公告为准。（见面会､首映式､情人节､平安夜､圣诞节晚场及VIP厅等特殊场次兑换规则请详询影院）。（5）电影票业务暂不支持全场红券支付，并且仅在APP端和WAP端支持用电影票优惠券支付。（6）目前兑换券仅限兑换正价电影票，不参与影院其它活动。
退换货流程	国美在线为您提供了在线受理退换货的服务，您只需要登录您的国美在线账户，在 “我的国美--退换货”页面中在线提交申请信息即可！
我想办理退换货，应该如何申请？	登录您的会员账户，点击“我的国美”-“退换货”，页面显示可办理退换货的订单，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。
因退换货产生的运费由谁支付？	1、因产品质量问题产生的退换货商品邮寄费用由国美承担，并以红券方式进行返还；2、无理由退货，邮寄费用由客户承担。
国美在线自营商品退换货总则	国美在线承诺自商品妥投日期起7日内可退货，15日内可换货，客户可自助提交退换货申请或与国美在线客服取得联系协助您办理退换货事宜。
实际收货日期判断规则	1、国美快递配送或者自提的订单：以客户实际签收日期为准； 2、非国美配送的订单，按照第三方物流平台显示的实际到货次日0点起为准。如果第三方合作伙伴不能有效返回签收日期，则国美客服根据距离等因素和客户人工确认实际到货日期。
数码类产品，所在地无法检测，厂家拒绝提供服务的怎么办？	手机、相机、电脑等数码类商品，如客户所在地无检测条件或厂家售后拒绝提供服务的请联系客服协调处理。
收到商品外观破损、与页面信息不符、缺少配件等情况怎么办？	收到商品外观破损、与页面信息不符、缺少配件等，我司处理过程中可能需要物流人员证明或要求您提供实物照片等，以便能够快速解决相关问题。
办理退换货时，已使用的美豆、优惠券及赠品如何处理？	扣除、冻结所获得的美豆及优惠券，如已使用，会直接从商品退款中扣除相应金额。
哪些情况不予办理退换货？	1、不是我司售卖出去的商品（比如：序列号不符）；2、超过三包保修期的商品；3、个人原因造成的问题；4、发票、附件不齐全，不是全新原装；5、不符合三包法内可以办理退换货的条件。
所在区域不支持上门取件怎么办？	不支持取件服务区域需客户自行邮寄，需客户承担运费，如收到商品破损将无法办理退货，商品将做拒收或到付寄回。
第三方卖家商品退换货流程	当您购买的商品需要办理退换货时，您可登录我的国美—客户服务—退换货提交退换货申请，卖家会根据退换货政策在24小时内为您审核。
第三方卖家商品退换货审核时间	客户在提交退换货申请后，商家会在24小时内审核 
第三方卖家退换货总则	国美在线承诺，自商品售出之日（以实际收货日期为准）起7日内可以退换货、15日内可以换货，用户可在线提交退换货申请
第三方卖家商品退换货是否需要检测报告？	部分品类的商品在退换货时需要提供相应的检测报告，商品品类包括：大家电、厨卫小家电、生活电器、电脑OA、手机数码、美妆个护、钟表首饰。
退款是退到那里？	退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。
退款处理周期是多长时间？	国美在线退款处理周期1个工作日（自生成退款单起）具体的建议可参照http://help.gome.com.cn/question/5556.html
手机维修支持的城市有哪些？	服务支持上门维修区域： 重庆、北京、上海、广州、昆明、贵州、成都、南京、杭州、义乌、合肥、深圳、济南、青岛、郑州、沈阳、大连、太原、西安、天津、武汉、荆门、长沙、石家庄、福州、海口、南昌、南宁、厦门、乌鲁木齐；除上述区域外地区：支持到付邮寄
可以维修的家电品类有哪些？	可以维修的家电品类：已过保修期的冰箱、冰柜、洗衣机、彩电、空调、油烟机、热水器、灶具。非国美在线购买的商品也可维修
如何申请家电维修服务？	1、登录“服务中心”—“家电维修”页面左上角，点击申请维修，填写报修信息。2、微信关注“国美管家”公众号根据提示进行微信登记。
是国美门店售后上门维修吗？	家电维修均由国美在下签约的售后服务商上门维修，由国美在下统一监管，服务有保障。
什么是家电保养？	家电保养是指家用电器在使用或停用时过程中,为了使家用电器能保持原有的功能不失真或延长家用电器的使用寿命,而对家用电器定期采取的一系列清洗、消毒、除水垢的必要性维护措施。
家电保养的必要性	家电在使用一段时间过后，由于本身的电磁辐射以及对空气中灰尘和有害身体健康的细菌的吸收，家电便成为这些细菌的载体，影响到人们继续使用家电产生的对人体健康的危害。
支持哪些家电的保养服务？	冰箱、洗衣机、空调、烟机、热水器。
哪些品类的商品可以提供远程服务？	您在国美在线购买电脑、手机（安卓、苹果）、PAD设备，国美远程服务都将持续为您购买的商品软件问题提供优质服务。
“家安保”有哪些服务特色？	零费用承诺：我们承诺在延保期内，不收取任何维修费、零部件费、上门费及其他费用。三修换新：如果维修三次，再次出现同种故障，免费直接换新机。冰箱/冰柜故障：补偿100元食物。1000元内商品替换：1000元（含）内的商品，出现性能故障直接换新机。
国美在线有几种购物方式？	国美在线现有三种购物方式：在线订购（联系在线客服为您购买）、电话订购（联系400客服为您购买）、网上订购；您可以通过这三种方式购买您所喜欢的商品。
如何在线订购？	在线订购，是指由您提供所需商品信息、收货信息，由客服人员代您完成购物流程的购物方式。进入国美在线网站后，您可通过右下角的“在线客服”图标进入在线客服系统，将您需要的商品信息、收货信息告知客服人员，然后由客服人员代您提交商品订单。
如何电话订购？	您可拨打客服热线：4008-708-708，将所需商品信息、您的收货信息 等告知电话客服，并由客服人员代您下单购买。
如何网上订购？	建议您可以看下 http://help.gome.com.cn/question/5130.html 链接中具体的图示讲解哦~
网上订购流程	1.选购心仪有货的商品2.加入购物车3.点击“去购物车结算”按钮4.去结算5.填写订单信息6.提交订单7.支付
如何查看订单？	订单提交成功后，您可点击我的国美-我的订单查看哦~
客服热线	建议您可以看下 http://help.gome.com.cn/question/5656.html 链接中一些具体的联系方式哦~
客服传真	传真号：010-57950666，接收商品因质量问题开具的质检报告、鉴定单或办理业务所需的相关证件等。
用户体验	建议您可以看下http://help.gome.com.cn/question/5658.html具体的介绍哦~
不登录可以直接购物吗？	用户在未登录的情况下，选择“去购物车结算”，页面会自动跳转至“用户登陆”的界面：1、已注册的用户登录后即可完成购物；2、未注册的用户点击“免费注册”，根据页面提示注册后，即可完成购物。
登录流程	建议您可以看下http://help.gome.com.cn/question/5134.html具体的图示介绍哦~
忘记密码怎么办？	密码忘记分为两种：忘记登录密码：忘记登录密码会影响账号的正常登录；忘记支付密码：忘记支付密码无法正常使用使账户中的优惠券、余额等。
聪明购	国美“聪明购”是针对大家电、数码类的商品，推出的价格比对服务。消费者可以使用这项服务与同行业同款商品进行价格比对和信息查询。国美在线通过技术手段，定时去收录的知名B2C商城抓取商品数据。这些数据目前包括：商品的抓取时的价格、商品的基本信息。当商品价格低于其他B2C商城同款商品时，在商品列表页和商品详情页出现“聪明购”的图标，以及差价信息。鉴于搜索引擎以非人工检索方式、根据商品基本信息自动和第三方网站进行商品比对，相关内容来自搜索结果所查询到的第三方网站，仅提供参考。国美在线不对第三方网页中内容之合法性、准确性、真实性、适用性、安全性负责，对于您可能从该第三方网页上获得的资讯及享用的服务，请审慎辨别和选择，国美在线将不承担任何法律责任。
什么是真划算？	国美真划算是国美自营及第三方卖家优质商品的团购、抢购等促销平台，消费者在指定时间内即可按优惠真划算价购买参团、抢购商品。
什么是抢购？	国美在线真划算频道中国美抢购首页发布的商品均为定时限量，分为两个部分：抢购首页、找优惠。
如何参与抢购？	建议您可以看下 http://help.gome.com.cn/question/5145.html 具体图示指导哦~
怎么才算抢购成功？	当看到以下界面时，表示您已经成功抢到了心仪的商品，具体界面情况见http://help.gome.com.cn/question/5146.html图示哦
购买真划算商品是否可参加其他优惠活动？	真划算属于商品的一种促销形式，参加真划算的商品将不再重复参与其它优惠活动（如有特殊促销活动说明，以活动规则为准）
什么是淘实惠？	淘实惠所售均为“非全新”的商品，请您仔细阅读拍卖商品信息页面中的具体说明，对商品要求较高者请您慎重购买
淘实惠商品订单及结算	淘实惠商品一单一物，无法保留库存请您及时结算，商品的价格和库存以订单提交时为准。
淘实惠商品是否开具发票？	淘实惠所售商品均附带发票，请您放心购买。
淘实惠购买的商品如何支付？	淘实惠所售商品支持在线支付、货到付款。
淘实惠商品可以退换货吗？	淘实惠所售商品不支持换货及无理由退货，支持7天内质量问题退货。
购买淘实惠商品是否可获得美豆？	淘实惠所售商品不参与评价，晒单和收藏，且不涉及获得美豆。
淘实惠商品是否可参加商城活动？	淘实惠所售商品均不参与商城的活动
购买淘实惠商品可以使用优惠券吗？	淘实惠所售商品支持使用红券、蓝券。
预约成功，一定可以购买到商品吗？	受库存等因素限制，预约购买商品每人限购一件，先到先得。请留意开售时间，准时参与抢购哦。
参与预约，需要支付订金吗？	参与预约获取购买资格是完全免费的
预约购买商品和普通商品有什么不同？	预约购买商品一般为新品抢先、或者爆款商品，售后和整站规则一致。
预售购买流程	1、预售阶段：该阶段内，用户下单后可以支付定金。2、预售阶段结束后，进入尾款支付阶段：已支付定金的订单需在该阶段内支付尾款。3、尾款支付阶段结束后，国美在线开始为您准备发货。
预售商品和普通商品有什么不同？	预售商品一般为新品抢先、或者爆款商品，售后和整站规则一致。
支付定金后，多久可以收到商品？	支付定金后至预售活动结束，我们会短信通知您支付尾款，尾款支付阶段过后，我们将为您发货。
支付定金后，未支付尾款，订单将怎么处理？	在尾款支付阶段超期未支付尾款的，订单将被自动取消，如您需要申请退还定金，请联系客服。
定金和尾款都支付后，申请退货，如何操作？	您可联系客服申请退款/退货
正品保障	建议您可以看下 http://help.gome.com.cn/question/5675.html 具体说明介绍哦
国美在线支持的配送方式有哪些？	国美在线基于商品及平台不同，主要有4种配送方式：国美大家电配送、国美小件商品配送、供应商直接配送、第三方卖家配送。
什么是国美小件商品配送？	由国美自建配送团队或合作物流公司提供配送服务的手机、数码影像、笔记本电脑、厨卫小电等小件商品。
什么是国美大家电配送？	由国美自有物流发货并提供配送服务的冰箱、洗衣机、空调、彩电、厨卫大家电等大件商品。  
什么是第三方卖家配送？	通过第三方卖家购买的商品，一律由商家为您选择的专业快递公司配送。
什么是供应商直接配送？	由供货商提供配送服务的烟机、灶具、热水器、消毒柜等大件电器及部分小件商品。
供应商直接配送的商品品类有哪些？	具体的建议您可以看下 http://help.gome.com.cn/question/5008.html 哦 
供应商配送商品退换货的邮费由谁承担？	具体的建议您可以看下 http://help.gome.com.cn/question/5010.html 哦
自营小件商品送货进度如何查询？	详细进度您可以进入我的订单，通过追踪功能实时查看订单进度。
供货商配送商品如何查询？	第三方供应商发货选用价格较适中便捷的快递公司为您配送商品，您可通过订单中的快递单号或追踪功能实时查看订单进度进行查询。详见我的订单
国美在线有哪些特色配送服务？	我们的特色配送服务有：计时达、限时达、半日达、次日达、指定日达
